country,city,location,sourceNames,count,firstUpdated,lastUpdated
IN,Kolkata,US Diplomatic Post: Kolkata,StateAir_Kolkata,26444,2015-12-11,2019-04-14
IN,Kota,"Shrinath Puram, Kota - RSPCB","data.gov.in, caaqm",44452,2018-03-09,2019-02-14
IN,Kota,"Shrinath Puram, Kota- RSPCB",CPCB,23275,2017-10-23,2018-02-15
IN,Kota,"Shrinath Puram,Kota - RSPCB",CPCB,1888,2017-10-17,2017-10-24
IN,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",caaqm,870,2019-02-12,2019-02-14
IN,Lucknow,"Central School, Lucknow - CPCB","data.gov.in, caaqm",41600,2018-03-09,2019-02-14
IN,Lucknow,"Lalbagh, DN Park",CPCB,115226,2016-05-12,2018-02-22
IN,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","data.gov.in, caaqm",30678,2018-03-09,2019-02-14
IN,Lucknow,Central School,CPCB,94951,2016-03-21,2018-02-22
IN,Lucknow,"Nishant Ganj, Lucknow - UPPCB","CPCB, data.gov.in, caaqm",42745,2017-11-23,2019-02-14
IN,Lucknow,Talkatora District Industries Center,CPCB,58861,2016-03-21,2018-02-22
IN,Lucknow,"Lalbagh, Lucknow - CPCB","data.gov.in, caaqm",41460,2018-03-09,2019-02-14
IN,Lucknow,"Lalbagh, West Lucknow",CPCB,222,2016-03-21,2016-05-07
IN,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","data.gov.in, caaqm",10965,2018-03-09,2019-02-14
IN,Ludhiana,"Punjab Agricultural University,Ludhiana - PPCB",CPCB,77933,2017-04-12,2018-02-22
IN,Maihar,"Sahilara, Maihar - KJS Cements",caaqm,590,2019-02-11,2019-02-14
IN,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB","data.gov.in, CPCB, caaqm",90232,2017-03-16,2019-02-14
IN,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","CPCB, caaqm, data.gov.in",60162,2017-12-27,2019-02-14
IN,Mandikhera,"General Hospital, Mandikhera - HSPCB",caaqm,828,2019-02-12,2019-02-14
IN,Manesar ,"Sector-2 IMT, Manesar - HSPCB",caaqm,1224,2019-01-02,2019-02-14
IN,Medak,TSPCBPashamylaram,CPCB,2845,2016-09-01,2016-09-20
IN,Moradabad,"Lajpat Nagar, Moradabad",CPCB,28751,2017-09-15,2018-02-22
IN,Moradabad,"Lajpat Nagar, Moradabad - UPPCB","data.gov.in, caaqm",45451,2018-03-09,2019-02-09
IN,Mumbai,"Bandra, Mumbai - MPCB","data.gov.in, caaqm",42934,2018-03-09,2019-02-14
IN,Mumbai,Maharashtra Pollution Control Board Bandra,CPCB,223491,2016-03-21,2018-02-22
IN,Mumbai,Navi Mumbai Municipal Corporation Airoli,CPCB,83136,2016-03-21,2018-02-20
IN,Mumbai,US Diplomatic Post: Mumbai,StateAir_Mumbai,26412,2015-12-11,2019-04-14
IN,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",caaqm,29855,2018-08-10,2019-02-14
IN,Muzaffarpur,"Muzaffarpur Collectorate,Muzaffarpur - BSPCB","data.gov.in, caaqm",35597,2018-03-09,2018-11-19
IN,Muzaffarpur,Collectorate - Muzaffarpur - BSPCB,CPCB,119783,2016-03-19,2018-02-21
IN,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",caaqm,759,2019-01-03,2019-02-14
